0,1,2
German Language & Literature,46100,72700
Electronics & Computer Technology,51700,72700
Administrative Management,50100,72600
Cardiopulmonary Science,45800,72600
3D Animation,49400,72500
Ethnic Studies,44900,72300
Adult Education & Training,46200,72200
Health Administration,40700,72200
Agricultural Communication,42600,72100
Organizational Management,46900,72100
Multimedia,42800,72000
Communication Design,48700,71900
Radiologic Science,54900,71800
Exercise Physiology,41600,71700
Criminal Justice Administration,43700,71600
Natural Resource Management,43800,71500
Diagnostic Medical Imaging,57900,71400
Earth Science,48200,71400
Hotel & Restaurant Management,44600,71400
Radiology,51600,71300
Art History,44400,71200
Hospital Management,48500,71200
Retail Management,45700,71200
English & Psychology,41100,71100
Human Resources (HR),44800,71100
Management & Organization,53900,71100
Painting & Printmaking,32800,71100
Visual Effects & Motion Graphics,47400,71100
Medical Laboratory Technology,54100,71000
Fashion Merchandising,44100,71000
Multimedia & Web Design,47500,70900
Advertising & Graphic Design,44600,70800
Anthropology,43500,70800
Broadcast Communication,37900,70800
Communication Management,42500,70800
Health Care Administration,43600,70800
Natural Resources,44900,70700
Psychology,42000,70700
Visual Communications,43000,70700
Applied Behavior Analysis,36900,70600
Travel Industry Management,51800,70600
Humanities,43800,70500
Sociology & Anthropology,41900,70500
Communication Arts,40400,70500
Creative Writing,42800,70400
Anthropology & English,44900,70300
Modern Languages,48600,70300
Health Care Management,44000,70200
Health Teacher Education,35500,70200
Radiologic Technology,52100,70200
Health & Fitness,38000,70100
Animal Science & Management,42100,70000
Criminology,42400,70000
Hospitality Management,43600,70000
Art Administration,36800,70000
Human Relations,41100,70000
Health Information Management,46200,69900
Medical Laboratory Science,53000,69900
Liberal Studies,42300,69800
Secondary & Middle School Mathematics Teacher Education,43100,69800
Fashion Design & Marketing,42200,69700
Art & Design,42400,69600
Physical Anthropology,49300,69600
Sports Management,42900,69600
Life Sciences,51900,69400
Respiratory Care,52300,69200
Audio Engineering,45900,69100
Social & Criminal Justice,42300,69100
Child Psychology,37100,68900
Interior Design,42400,68900
Small Business Management,43900,68900
Turfgrass Management,47700,68900
Medical Technology,53300,68800
Religious Studies,41000,68800
Hotel & Restaurant Tourism,42500,68700
Sociology,43700,68600
Arts & Science,43900,68500
Secondary Education,42700,68500
Speech Pathology & Audiology,41500,68500
Theater,42400,68400
Archaeology,43900,68300
Illustration,42900,68300
Radiography,52700,68300
Media Arts,44000,68200
Clinical Laboratory Science,52400,68100
Graphics Technology & Management,38800,68100
Psychology & Social Behavior,44100,68100
Health Management,42000,68000
Media Communication,44300,68000
Mass Media,38100,67900
Nutrition,45100,67900
Performing Arts,42900,67800
SocialStudies,43700,67700
Italian Language,47800,67600
Social Studies,44100,67500
Commercial Photography,42000,67300
Radio & Television,40800,67200
Respiratory Therapy,52300,67200
Art Therapy,39200,67100
Biological Anthropology,41900,67100
Drafting & Design,48900,66800
Geomatics,49000,66800
Clinical Nutrition,47600,66700
Horticulture & Agronomy,46400,66700
Graphic Communication,44700,66600
Plant Sciences,45800,66600
Kinesiology,42100,66600
Fire Science,47200,66600
Fashion Marketing & Management,45200,66500
Music,41800,66500
Nutrition & Dietetics,48500,66500
Health,41900,66400
Legal Studies,44400,66400
Criminal Justice,40600,66300
Wildlife & Fisheries Science,38300,66300
Forensic Psychology,40800,66200
Graphic Design,42600,65800
Dramatic Art,38900,65700
Hospitality & Tourism,41500,65600
Religion,41100,65600
Pre-Veterinary Medicine,37600,65600
Sports Medicine,45700,65400
Women's Studies,42700,65400
Fine Arts,40400,65300
Public Health (PH),43400,65300
Modern Language Spanish,41100,65200
Museum Studies,37600,65200
Business Leadership,47700,65100
Dietetics,48700,65100
Forensic Accounting,44200,65100
Landscape Management,49300,65100
Speech-Language Pathology,41700,65100
Animal Science,39000,64900
Family & Consumer Science,40500,64900
Drawing & Painting,40600,64500
Music Industry,44400,64500
Technical Theatre,39100,64500
Foods & Nutrition,45000,64400
Physical Therapist Assistant Studies,49100,64400
Recreation Management,40300,64400
Interdisciplinary Studies (IS),42200,64200
Education,41800,64100
Applied Linguistics,44100,64000
Applied Sociology,40100,63800
Business & Healthcare Management,44700,63800
Music Composition,42300,63700
Physical Education & Exercise Science,41000,63700
Behavioral Science,40400,63500
Psychology & Sociology,40600,63400
General Studies,41200,63300
Culinary Arts & Culinary Management,36100,63200
Theatre Arts,40900,63200
Technology Teacher Education,46400,63100
Art,40600,63000
Textiles & Clothing,42900,63000
Video Production,42800,62800
Training and Development,50200,62500
Theology,39300,62300
Restaurant & Food Service Management,41500,62300
Missions,41400,62200
Event Management,39500,62100
Clinical Psychology,40900,62000
Developmental Psychology,31000,62000
Physical Education Teaching,39600,62000
Theatre,39700,62000
Sports Administration,41200,61900
Drawing,36400,61800
Health & Exercise Science,40100,61800
Agricultural Teacher Education,51000,61700
Graphic Arts,41100,61600
New Media,44700,61600
Health Services Administration,40800,61500
Interior Design & Merchandising,40800,61400
Exercise Science,38900,61300
Electronic Media,43700,61200
